age,education-num,hours-per-week,>50k,>50k_hat
27,10,38,0,0
45,9,40,0,0
29,13,55,1,1
30,13,40,0,0
29,10,50,0,0
51,14,47,1,1
58,9,60,1,1
22,9,40,0,0
50,12,40,0,0
50,9,40,1,1
43,13,42,0,0
37,9,40,0,0
41,13,40,1,0
46,4,45,0,0
33,10,35,0,0
45,7,25,0,0
43,11,48,1,1
52,15,40,0,1
38,12,33,1,1
32,13,30,0,0
40,5,40,0,0
31,9,40,0,0
51,14,40,0,0
23,9,30,0,0
29,10,48,0,0
32,13,35,0,0
59,9,40,0,0
32,13,40,0,0
33,10,50,0,0
18,9,33,0,0
53,3,40,1,1
32,10,40,1,0
23,9,40,0,0
26,7,20,0,0
28,13,40,0,0
30,13,40,1,1
18,7,20,0,0
34,12,40,0,0
25,10,30,0,0
54,9,20,0,0
37,10,40,0,0
45,12,35,0,0
48,15,50,1,1
72,9,16,0,0
45,10,65,1,1
45,9,40,1,0
45,7,50,0,0
20,9,25,0,0
64,6,56,1,0
45,9,40,1,0
45,9,40,0,0
20,10,40,0,0
46,10,55,0,0
26,9,40,0,0
28,14,80,0,0
60,6,40,0,0
31,9,40,1,0
19,9,24,0,0
27,9,40,0,0
62,13,48,0,0
49,9,40,0,0
48,5,40,0,0
25,13,40,1,0
25,13,40,1,0
37,13,40,0,0
81,10,4,0,0
41,9,40,0,0
22,9,35,0,0
47,15,60,1,0
36,10,40,0,0
45,9,40,0,0
24,9,40,0,0
23,9,40,0,0
37,13,40,1,1
26,13,40,0,0
39,9,40,0,0
47,10,40,0,0
49,10,40,0,0
63,9,40,1,0
18,9,27,0,0
29,13,50,1,1
35,13,40,0,0
34,11,40,1,1
43,13,40,1,1
36,13,40,0,0
63,9,40,0,0
35,11,40,1,0
42,13,40,1,1
43,9,20,0,0
26,9,25,0,0
55,4,50,0,0
25,6,40,0,0
23,10,15,0,0
37,9,30,0,0
62,10,33,0,0
18,7,12,0,0
55,9,20,0,0
36,10,40,0,0
27,10,40,0,0
24,7,40,0,0
40,15,55,1,1
33,4,40,0,0
47,9,35,0,0
20,9,40,0,0
51,10,75,0,0
47,9,40,0,0
41,13,12,1,1
38,13,50,1,1
34,11,40,0,0
52,13,50,1,1
37,16,60,1,1
22,9,40,0,0
19,10,30,0,0
31,9,40,0,0
24,9,25,0,0
20,9,5,0,0
42,15,35,1,1
45,13,40,0,0
26,9,40,1,0
26,13,40,0,0
31,10,45,0,0
50,9,40,1,1
54,9,35,0,0
47,6,40,0,0
28,10,35,0,0
68,8,30,0,0
48,16,50,1,1
32,14,40,0,0
38,13,55,1,1
46,13,55,0,1
30,9,48,1,1
90,12,20,0,0
57,14,40,1,1
35,10,35,0,0
42,9,40,1,0
54,9,40,1,1
42,9,40,0,0
41,10,40,0,0
47,13,60,1,1
18,7,4,0,0
63,15,30,1,0
21,10,40,0,0
46,13,40,0,0
72,9,20,0,0
34,14,40,1,1
47,14,50,1,0
59,9,60,0,0
59,9,40,0,0
46,9,40,1,0
62,13,50,1,1
23,13,40,0,0
47,9,45,0,0
46,10,40,0,0
50,10,52,1,1
43,9,50,1,1
52,10,35,0,0
26,9,40,0,0
30,9,40,0,0
42,9,40,0,0
17,7,13,0,0
29,10,40,0,0
40,10,40,0,0
21,10,40,0,0
40,9,40,1,0
68,10,40,0,0
40,10,48,0,0
23,9,40,0,0
52,9,50,0,0
63,9,40,0,0
51,13,25,0,1
19,9,40,0,0
42,15,60,1,1
26,10,38,0,0
50,9,65,1,0
41,10,50,1,1
27,13,40,0,0
45,13,40,1,1
45,11,50,0,0
21,10,35,0,0
54,9,43,0,0
27,13,52,0,0
57,13,40,0,1
22,10,35,0,0
23,12,32,0,0
50,7,40,0,0
69,9,18,0,0
59,9,40,1,1
23,10,22,0,0
36,13,40,1,1
62,13,40,1,1
45,13,30,0,0
27,13,55,1,1
30,9,40,0,0
35,13,50,0,0
58,9,40,1,0
24,9,50,0,0
45,12,48,0,0
46,14,22,1,1
28,10,40,0,0
20,9,80,0,0
54,4,40,0,0
25,13,40,0,0
55,11,45,0,0
60,13,40,1,1
46,14,60,0,0
21,10,40,0,0
51,9,30,0,0
28,9,40,0,0
46,9,40,0,0
62,9,40,0,0
43,10,49,1,1
28,12,60,0,0
27,10,40,0,0
35,12,40,0,0
30,11,50,1,0
24,9,40,0,0
56,10,38,0,0
25,10,34,0,0
38,12,40,0,0
34,10,50,0,0
40,11,40,0,0
44,9,40,0,0
25,13,16,0,0
32,14,55,1,1
17,5,40,0,0
54,14,40,0,0
66,13,30,0,0
36,9,40,0,0
31,10,43,0,0
23,9,40,0,0
33,10,40,0,0
37,13,50,1,1
30,4,50,0,0
81,13,5,0,0
22,10,40,0,0
29,9,30,1,1
28,9,40,0,0
62,9,40,0,0
27,7,40,0,0
31,13,40,1,1
33,10,35,0,0
26,11,65,0,0
20,10,20,0,0
24,9,48,0,0
30,10,20,0,0
22,9,40,0,0
64,15,45,1,1
18,8,20,0,0
32,6,40,0,0
41,9,40,0,0
30,7,40,0,0
34,13,38,0,0
21,11,40,0,0
53,14,40,0,0
45,9,40,0,0
31,10,40,0,0
70,9,30,0,0
46,9,40,0,0
41,14,50,1,1
17,6,12,0,0
42,10,38,0,0
24,9,38,0,0
44,9,32,0,0
50,9,40,0,0
19,9,35,0,0
36,11,40,1,0
33,13,40,1,1
32,10,60,1,0
54,9,45,0,1
54,5,40,0,0
27,9,60,0,0
29,10,40,0,0
29,9,55,0,0
36,13,70,0,1
54,14,55,1,1
39,13,63,0,0
36,10,60,1,1
45,9,40,0,0
67,5,40,0,0
28,11,60,0,0
45,10,56,1,1
32,13,40,0,1
26,15,60,1,1
43,10,40,0,0
27,9,50,0,0
26,10,40,0,0
43,10,38,0,0
45,9,40,0,0
41,5,35,0,0
25,10,40,0,0
33,11,40,0,0
25,10,40,0,0
21,10,30,0,0
68,13,35,1,1
73,13,30,0,0
26,9,40,0,0
40,9,35,1,1
46,14,55,1,1
33,7,65,0,0
41,13,45,1,1
61,9,40,0,0
20,10,40,0,0
59,9,48,0,0
42,14,40,0,0
31,9,99,1,0
57,12,40,0,0
21,6,40,0,0
47,14,2,1,1
42,13,50,1,1
48,10,48,0,0
59,7,40,0,0
35,10,50,1,1
47,10,40,0,0
29,9,40,0,0
39,12,60,1,1
39,9,40,0,0
51,9,40,0,1
30,10,48,0,0
21,5,40,0,0
33,10,52,0,1
19,9,40,0,0
26,13,35,0,0
59,7,40,0,0
40,11,40,0,0
39,10,40,0,0
24,13,40,0,0
21,11,60,0,0
39,9,48,0,0
33,6,40,0,0
56,9,50,0,0
48,10,45,0,0
27,10,40,0,0
36,9,50,1,0
45,11,55,1,0
45,13,40,1,1
39,13,55,1,1
57,13,60,1,1
48,6,48,0,0
56,9,48,0,0
32,13,60,1,1
18,6,40,0,0
36,9,30,0,0
44,9,40,1,1
62,9,6,0,0
66,9,35,0,0
41,13,45,0,0
35,10,40,0,0
42,10,21,0,0
33,14,50,1,1
39,9,40,1,0
67,14,48,1,1
67,10,35,0,1
36,9,40,0,0
29,9,40,0,0
37,13,45,0,0
48,13,60,1,1
33,7,40,0,0
33,13,60,1,0
56,6,56,0,0
36,9,40,0,0
37,11,40,1,1
90,9,40,0,0
42,9,8,0,0
67,4,40,0,0
33,14,37,1,1
21,9,40,0,0
27,13,40,0,0
21,9,25,0,0
18,10,40,0,0
58,14,20,0,0
17,10,20,0,0
78,4,20,0,0
33,9,48,0,0
34,10,75,0,0
42,9,60,0,0
48,14,40,1,0
34,10,40,0,0
38,9,50,0,0
37,9,70,1,0
19,9,40,0,0
17,7,20,0,0
27,7,35,0,0
36,14,40,1,1
